Title,Location,Price,Area,Number of Rooms,Interior
                        Apartment Banstraat 28 3                            ,            1071 KA Amsterdam (Museumkwartier)        ,"                €4,850 per month            ",151 m²,5 rooms,Furnished
                        Apartment Vossiusstraat 39 hs                            ,            1071 AH Amsterdam (Museumkwartier)        ,"                €7,000 per month            ",260 m²,7 rooms,Upholstered
                        Apartment Herengracht                            ,            1017 CD Amsterdam (Grachtengordel-Zuid)        ,"                €5,400 per month            ",125 m²,3 rooms,Furnished
                        House Jaagpad 31                            ,            1059 BP Amsterdam (Hoofddorppleinbuurt)        ,"                €5,000 per month            ",200 m²,6 rooms,Furnished
                        House Valeriusplein                            ,            1075 BJ Amsterdam (Willemspark)        ,"                €8,000 per month            ",366 m²,6 rooms,Upholstered
                        Apartment Da Costakade 31 hs                            ,            1052 SG Amsterdam (Da Costabuurt)        ,"                €2,500 per month            ",81 m²,3 rooms,Furnished
                        Apartment Nicolaas Witsenkade                            ,            1017 ZS Amsterdam (De Weteringschans)        ,"                €7,950 per month            ",200 m²,6 rooms,Furnished
                        Apartment Minervaplein                            ,            1077 TR Amsterdam (Apollobuurt)        ,"                €2,850 per month            ",111 m²,3 rooms,Furnished
                        Apartment Amstelveenseweg 224 3                            ,            1075 XT Amsterdam (Schinkelbuurt)        ,"                €2,950 per month            ",115 m²,3 rooms,Furnished
                        House Bongerdkade                            ,            1036 LZ Amsterdam (Tuindorp Oostzaan)        ,"                €3,100 per month            ",150 m²,5 rooms,Furnished
                        Apartment Bosboom Toussaintstraat                            ,            1054 AT Amsterdam (Helmersbuurt)        ,"                €4,250 per month            ",155 m²,5 rooms,Furnished
                        Apartment De Boelelaan                            ,            1082 RD Amsterdam (Buitenveldert-West)        ,"                €2,350 per month            ",85 m²,3 rooms,Furnished
                        Apartment Veerstraat 51 4                            ,            1075 SN Amsterdam (Schinkelbuurt)        ,"                €2,350 per month            ",70 m²,2 rooms,Furnished
                        Apartment Albatrospad 142                            ,            1021 TR Amsterdam (IJplein/Vogelbuurt)        ,"                €3,500 per month            ",130 m²,3 rooms,Furnished
                        Apartment Keizersgracht                            ,            1017 EM Amsterdam (Grachtengordel-Zuid)        ,"                €10,750 per month            ",320 m²,7 rooms,Furnished
                        House Sarphatipark 102 HS                            ,            1073 EC Amsterdam (Nieuwe Pijp)        ,"                €4,500 per month            ",160 m²,4 rooms,Furnished
                        Apartment Singel 91 E                            ,            1012 VG Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €2,850 per month            ",110 m²,2 rooms,Furnished
                        Apartment Valeriusstraat 24 hs                            ,            1071 MJ Amsterdam (Museumkwartier)        ,"                €4,750 per month            ",148 m²,5 rooms,Upholstered
                        Apartment Kerkstraat                            ,            1017 HW Amsterdam (Grachtengordel-Zuid)        ,"                €5,000 per month            ",120 m²,3 rooms,Furnished
                        Apartment Valkenburgerstraat 134 E                            ,            1011 NA Amsterdam (Nieuwmarkt/Lastage)        ,"                €3,150 per month            ",95 m²,3 rooms,Furnished
                        Apartment IJselstraat 87 H                            ,            1078 CG Amsterdam (IJselbuurt)        ,"                €1,875 per month            ",50 m²,3 rooms,Upholstered
                        Apartment Eerste Schinkelstraat 23 H                            ,            1075 TV Amsterdam (Schinkelbuurt)        ,"                €3,950 per month            ",150 m²,4 rooms,Upholstered
                        House Van Breestraat 139 hs                            ,            1071 ZL Amsterdam (Museumkwartier)        ,"                €4,950 per month            ",140 m²,5 rooms,Upholstered
                        Apartment Spuistraat 257 D                            ,            1012 VR Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €2,750 per month            ",60 m²,4 rooms,Upholstered
                        Apartment Wagenstraat                            ,            1017 CZ Amsterdam (Grachtengordel-Zuid)        ,"                €3,100 per month            ",90 m²,3 rooms,Upholstered
                        House Smalschipstraat 5                            ,            1086 VM Amsterdam (IJburg West)        ,"                €2,995 per month            ",143 m²,5 rooms,Furnished
                        Apartment De Lairessestraat 172 B                            ,            1075 HM Amsterdam (Willemspark)        ,"                €2,950 per month            ",84 m²,3 rooms,Furnished
                        Apartment Laan der Hesperiden 16 H                            ,            1076 DK Amsterdam (Stadionbuurt)        ,"                €3,500 per month            ",127 m²,3 rooms,Upholstered
                        Apartment Plantage Middenlaan                            ,            1018 DA Amsterdam (Weesperbuurt/Plantage)        ,"                €3,250 per month            ",140 m²,4 rooms,Upholstered
                        House Oosterpark 62 HS                            ,            1092 AR Amsterdam (Oosterparkbuurt)        ,"                €8,500 per month            ",221 m²,9 rooms,Furnished
                        Apartment Oosterpark 62 2en3                            ,            1092 AR Amsterdam (Oosterparkbuurt)        ,"                €5,500 per month            ",165 m²,6 rooms,Furnished
                        Apartment Oosterpark 62 I                            ,            1092 AR Amsterdam (Oosterparkbuurt)        ,"                €3,000 per month            ",85 m²,3 rooms,Furnished
                        Apartment Oosterpark 62 II                            ,            1092 AR Amsterdam (Oosterparkbuurt)        ,"                €3,000 per month            ",85 m²,3 rooms,Furnished
                        Apartment Oosterpark 62 III                            ,            1092 AR Amsterdam (Oosterparkbuurt)        ,"                €2,750 per month            ",80 m²,3 rooms,Furnished
                        Apartment Stadionweg 140 I                            ,            1077 SX Amsterdam (Apollobuurt)        ,"                €3,000 per month            ",111 m²,4 rooms,Upholstered
                        Apartment Kleiburg                            ,"            1104 EA Amsterdam (Bijlmer Oost (E,G,K))        ","                €2,095 per month            ",132 m²,4 rooms,Furnished
                        Apartment Oudeschans 18 III                            ,            1011 LA Amsterdam (Nieuwmarkt/Lastage)        ,"                €3,500 per month            ",100 m²,3 rooms,Furnished
                        Apartment Groenburgwal 14 IV                            ,            1011 HV Amsterdam (Nieuwmarkt/Lastage)        ,"                €4,400 per month            ",189 m²,3 rooms,Furnished
                        House Troelstralaan                            ,            1067 MX Amsterdam (Geuzenveld)        ,"                €2,600 per month            ",110 m²,4 rooms,Furnished
                        Apartment Leonardostraat 6 I                            ,            1077 EV Amsterdam (Apollobuurt)        ,"                €4,500 per month            ",185 m²,6 rooms,Upholstered
                        Apartment Wethouder Frankeweg                            ,            1098 KV Amsterdam (Middenmeer)        ,"                €3,250 per month            ",150 m²,5 rooms,Upholstered or furnished
                        Apartment Dam                            ,            1012 JS Amsterdam (Burgwallen-Oude Zijde)        ,"                €5,500 per month            ",125 m²,3 rooms,Upholstered or furnished
                        Apartment Linnaeusparkweg 82 I                            ,            1098 EH Amsterdam (Middenmeer)        ,"                €2,900 per month            ",123 m²,4 rooms,Upholstered
                        Apartment Koningin Wilhelminaplein                            ,            1062 KS Amsterdam (Westlandgracht)        ,"                €2,250 per month            ",90 m²,3 rooms,Furnished
                        House Fred Petterbaan                            ,            1019 JT Amsterdam (Oostelijk Havengebied)        ,"                €3,950 per month            ",175 m²,5 rooms,Furnished
                        Apartment Tweede Hugo de Grootstraat                            ,            1052 LC Amsterdam (Frederik Hendrikbuurt)        ,"                €1,875 per month            ",53 m²,2 rooms,Upholstered
                        Apartment Van Eeghenstraat 103 2                            ,            1071 EZ Amsterdam (Museumkwartier)        ,"                €5,000 per month            ",204 m²,6 rooms,Upholstered
                        Apartment Nieuwe Prinsengracht                            ,            1018 VT Amsterdam (Weesperbuurt/Plantage)        ,"                €2,300 per month            ",75 m²,2 rooms,Furnished
                        Apartment Evertsweertplantsoen 22                            ,            1069 RL Amsterdam (Osdorp-Midden)        ,"                €1,995 per month            ",60 m²,2 rooms,Upholstered or furnished
                        Apartment Prinsengracht                            ,            1016 HP Amsterdam (Grachtengordel-West)        ,"                €5,500 per month            ",177 m²,4 rooms,Upholstered
                        Apartment Oostenburgervoorstraat 47 G                            ,            1018 MN Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €3,250 per month            ",140 m²,4 rooms,Furnished
                        House Buikslotermeerdijk                            ,            1025 WH Amsterdam (Elzenhagen)        ,"                €3,100 per month            ",128 m²,7 rooms,Furnished
                        Apartment Keizersstraat                            ,            1011 GD Amsterdam (Nieuwmarkt/Lastage)        ,"                €2,500 per month            ",100 m²,3 rooms,Furnished
                        Apartment Huidekoperstraat                            ,            1017 ZM Amsterdam (De Weteringschans)        ,"                €2,100 per month            ",75 m²,2 rooms,Furnished
                        Apartment Singel                            ,            1015 AG Amsterdam (Grachtengordel-West)        ,"                €4,000 per month            ",108 m²,3 rooms,Furnished
                        Apartment Brouwersgracht 180 A                            ,            1013 HC Amsterdam (Haarlemmerbuurt)        ,"                €7,000 per month            ",200 m²,4 rooms,Furnished
                        Apartment Valkenburgerstraat                            ,            1011 MG Amsterdam (Nieuwmarkt/Lastage)        ,"                €3,950 per month            ",162 m²,4 rooms,Furnished
                        Apartment Argonautenstraat                            ,            1076 KV Amsterdam (Stadionbuurt)        ,"                €3,100 per month            ",120 m²,4 rooms,Upholstered
                        Apartment Willemsparkweg                            ,            1071 GN Amsterdam (Museumkwartier)        ,"                €5,400 per month            ",185 m²,6 rooms,Upholstered
                        Apartment Minervalaan                            ,            1077 NL Amsterdam (Apollobuurt)        ,"                €4,950 per month            ",164 m²,6 rooms,Upholstered
                        House Moestuinlaan                            ,            1036 KD Amsterdam (Tuindorp Oostzaan)        ,"                €4,500 per month            ",200 m²,10 rooms,Upholstered or furnished
                        Apartment Van Breestraat 90 II                            ,            1071 ZS Amsterdam (Museumkwartier)        ,"                €4,500 per month            ",122 m²,7 rooms,Upholstered
                        Apartment Esplanade de Meer                            ,            1098 WN Amsterdam (Middenmeer)        ,"                €2,500 per month            ",96 m²,3 rooms,Furnished
                        Apartment Raamgracht                            ,            1011 KH Amsterdam (Nieuwmarkt/Lastage)        ,"                €1,700 per month            ",90 m²,2 rooms,Furnished
                        Apartment NDSM-kade                            ,            1033 PG Amsterdam (Noordelijke IJ-oevers West)        ,"                €1,694 per month            ",89 m²,2 rooms,Upholstered
                        Apartment NDSM-kade                            ,            1033 PG Amsterdam (Noordelijke IJ-oevers West)        ,"                €1,568 per month            ",64 m²,2 rooms,Upholstered
                        Apartment NDSM-kade                            ,            1033 PG Amsterdam (Noordelijke IJ-oevers West)        ,"                €1,265 per month            ",63 m²,2 rooms,Upholstered
                        Apartment NDSM-kade                            ,            1033 PG Amsterdam (Noordelijke IJ-oevers West)        ,"                €1,487 per month            ",71 m²,2 rooms,Upholstered
                        Apartment Plantage Middenlaan                            ,            1018 DE Amsterdam (Weesperbuurt/Plantage)        ,"                €3,150 per month            ",147 m²,4 rooms,Upholstered
                        Apartment Lijnbaansgracht                            ,            1016 VX Amsterdam (Jordaan)        ,"                €7,500 per month            ",178 m²,2 rooms,Upholstered or furnished
                        House Adelaarsweg 7                            ,            1021 BM Amsterdam (IJplein/Vogelbuurt)        ,"                €3,500 per month            ",180 m²,6 rooms,Furnished
                        Apartment Ruysdaelkade 197 2                            ,            1072 AV Amsterdam (Nieuwe Pijp)        ,"                €1,865 per month            ",58 m²,3 rooms,Furnished
                        Apartment Keizersgracht 385 B                            ,            1016 EJ Amsterdam (Grachtengordel-West)        ,"                €9,750 per month            ",300 m²,5 rooms,Upholstered or furnished
                        Apartment Aalsmeerweg 37 H                            ,            1059 AB Amsterdam (Hoofddorppleinbuurt)        ,"                €3,000 per month            ",90 m²,4 rooms,Upholstered
                        Studio Wibautstraat 150                            ,            1091 GR Amsterdam (Weesperzijde)        ,"                €3,250 per month            ",40 m²,1 room,Furnished
                        Apartment Kalverstraat                            ,            1012 PH Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €2,750 per month            ",110 m²,4 rooms,Furnished
                        Apartment Bos en Lommerplantsoen                            ,            1055 AA Amsterdam (De Kolenkit)        ,"                €4,500 per month            ",50 m²,2 rooms,Furnished
                        Apartment Burgemeester Cramergracht 139                            ,            1064 AK Amsterdam (Slotermeer-Zuidwest)        ,"                €1,400 per month            ",65 m²,2 rooms,Shell
                        Apartment Albert Cuypstraat 143 3                            ,            1072 CS Amsterdam (Oude Pijp)        ,"                €2,900 per month            ",53 m²,2 rooms,Furnished
                        Studio August Allebéplein                            ,            1062 AC Amsterdam (Overtoomse Veld)        ,                €673 per month            ,30 m²,1 room,Upholstered
                        Apartment Prinsengracht                            ,            1016 GV Amsterdam (Grachtengordel-West)        ,"                €4,500 per month            ",100 m²,3 rooms,Upholstered or furnished
                        Apartment NDSM-kade                            ,            1033 PG Amsterdam (Noordelijke IJ-oevers West)        ,"                €2,654 per month            ",129 m²,4 rooms,Upholstered
                        Apartment Stromarkt                            ,            1012 SW Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €2,350 per month            ",65 m²,2 rooms,Furnished
                        Apartment Stadionweg                            ,            1077 ST Amsterdam (Apollobuurt)        ,"                €2,700 per month            ",120 m²,3 rooms,Upholstered or furnished
                        Apartment John Blankensteinstraat                            ,            1095 MB Amsterdam (Zeeburgereiland/Nieuwe Diep)        ,"                €3,400 per month            ",105 m²,5 rooms,Upholstered
                        Studio Elizabeth Cady Stantonplein                            ,"            1102 BL Amsterdam (Bijlmer Centrum (D,F,H))        ",                €655 per month            ,30 m²,1 room,Upholstered
                        Apartment Tasmanstraat 3                            ,            1013 PW Amsterdam (Houthavens)        ,"                €2,150 per month            ",100 m²,4 rooms,Furnished
                        Apartment Koningin Wilhelminaplein                            ,            1062 KS Amsterdam (Westlandgracht)        ,"                €2,250 per month            ",90 m²,3 rooms,Furnished
                        Apartment IJdok                            ,            1013 MM Amsterdam (Haarlemmerbuurt)        ,"                €2,550 per month            ",55 m²,2 rooms,Upholstered or furnished
                        Apartment Amstelveenseweg                            ,            1075 XL Amsterdam (Schinkelbuurt)        ,"                €2,450 per month            ",70 m²,3 rooms,Upholstered or furnished
                        Apartment Vrolikstraat 30 C                            ,            1091 VG Amsterdam (Oosterparkbuurt)        ,"                €1,850 per month            ",72 m²,3 rooms,Furnished
                        Apartment Daniël Stalpertstraat 98 H                            ,            1072 XL Amsterdam (Oude Pijp)        ,"                €2,000 per month            ",52 m²,3 rooms,Upholstered or furnished
                        Apartment Wilhelminastraat 28 1                            ,            1054 WJ Amsterdam (Helmersbuurt)        ,"                €2,150 per month            ",55 m²,3 rooms,Furnished
                        Apartment Prinsengracht 699 I                            ,            1017 JV Amsterdam (Grachtengordel-Zuid)        ,"                €2,100 per month            ",80 m²,2 rooms,Upholstered or furnished
                        Apartment Borssenburgplein 51                            ,            1078 TX Amsterdam (IJselbuurt)        ,"                €1,750 per month            ",50 m²,2 rooms,Upholstered or furnished
                        Apartment Keizersgracht 808 K                            ,            1017 ED Amsterdam (Grachtengordel-Zuid)        ,"                €2,350 per month            ",92 m²,2 rooms,Furnished
                        Apartment Lauriergracht                            ,            1016 RN Amsterdam (Jordaan)        ,"                €2,150 per month            ",65 m²,2 rooms,Furnished
                        Apartment Bloemstraat 164 C                            ,            1016 LK Amsterdam (Jordaan)        ,"                €2,250 per month            ",70 m²,3 rooms,Furnished
                        Apartment Elpermeer 198                            ,            1025 AN Amsterdam (Buikslotermeer)        ,                €900 per month            ,28 m²,1 room,Furnished
                        Apartment Van Oldenbarneveldtstraat                            ,            1052 KJ Amsterdam (Frederik Hendrikbuurt)        ,"                €2,250 per month            ",100 m²,3 rooms,Furnished
                        Apartment Lauriergracht                            ,            1016 RG Amsterdam (Jordaan)        ,"                €1,750 per month            ",60 m²,2 rooms,Upholstered or furnished
                        Apartment Nieuwe Herengracht 81 C                            ,            1011 RT Amsterdam (Nieuwmarkt/Lastage)        ,"                €2,200 per month            ",72 m²,3 rooms,Furnished
                        Apartment Van Nijenrodeweg                            ,            1082 HL Amsterdam (Buitenveldert-West)        ,"                €2,250 per month            ",80 m²,4 rooms,Furnished
                        Apartment Eerste Jan Steenstraat                            ,            1072 NJ Amsterdam (Oude Pijp)        ,"                €1,950 per month            ",50 m²,2 rooms,Furnished
                        Apartment Nassaukade 117 2                            ,            1052 EB Amsterdam (Frederik Hendrikbuurt)        ,"                €2,100 per month            ",85 m²,3 rooms,Upholstered
                        Apartment Van Ostadestraat                            ,            1072 SX Amsterdam (Nieuwe Pijp)        ,"                €2,150 per month            ",55 m²,3 rooms,Upholstered
                        Apartment Frieslandstraat                            ,            1082 TL Amsterdam (Buitenveldert-West)        ,"                €1,850 per month            ",75 m²,3 rooms,Furnished
                        Apartment Herengracht                            ,            1015 BT Amsterdam (Grachtengordel-West)        ,"                €2,750 per month            ",93 m²,4 rooms,Furnished
                        Apartment Kalkmarkt                            ,            1011 BD Amsterdam (Nieuwmarkt/Lastage)        ,"                €1,450 per month            ",40 m²,2 rooms,Furnished
                        Apartment Weteringschans                            ,            1017 RZ Amsterdam (De Weteringschans)        ,"                €2,800 per month            ",83 m²,4 rooms,Upholstered or furnished
                        Apartment Plantage Muidergracht                            ,            1018 TN Amsterdam (Weesperbuurt/Plantage)        ,"                €1,850 per month            ",55 m²,2 rooms,Upholstered
                        Apartment Galjootstraat                            ,            1086 VE Amsterdam (IJburg West)        ,"                €1,750 per month            ",85 m²,3 rooms,Furnished
                        Apartment De Clercqstraat 66                            ,            1052 NJ Amsterdam (Da Costabuurt)        ,"                €2,100 per month            ",68 m²,3 rooms,Upholstered
                        Apartment Reyer Anslostraat 2 2                            ,            1054 KV Amsterdam (Overtoomse Sluis)        ,"                €1,950 per month            ",80 m²,3 rooms,Upholstered
                        Apartment Willemsparkweg 92 III                            ,            1071 HM Amsterdam (Museumkwartier)        ,"                €2,100 per month            ",69 m²,3 rooms,Upholstered
                        Apartment Molukkenstraat                            ,            1095 BJ Amsterdam (Indische Buurt Oost)        ,"                €1,750 per month            ",62 m²,3 rooms,Furnished
                        Apartment Kazernestraat 26 C                            ,            1018 CD Amsterdam (Weesperbuurt/Plantage)        ,"                €2,250 per month            ",70 m²,3 rooms,Upholstered
                        Apartment Frederiksplein 24 C                            ,            1017 XM Amsterdam (De Weteringschans)        ,"                €2,450 per month            ",70 m²,2 rooms,Furnished
                        Apartment Mary Zeldenruststraat 9 H                            ,            1091 DL Amsterdam (Oosterparkbuurt)        ,"                €1,800 per month            ",60 m²,3 rooms,Upholstered
                        Apartment Karthuizersplantsoen 9                            ,            1015 LS Amsterdam (Jordaan)        ,"                €3,450 per month            ",161 m²,3 rooms,Furnished
                        Apartment Rapenburgerstraat 73 E4                            ,            1011 VK Amsterdam (Nieuwmarkt/Lastage)        ,"                €2,200 per month            ",75 m²,1 room,Upholstered
                        Apartment Barbusselaan 332                            ,"            1102 VB Amsterdam (Bijlmer Centrum (D,F,H))        ","                €1,550 per month            ",45 m²,2 rooms,Furnished
                        Apartment Lutmastraat                            ,            1073 GP Amsterdam (Zuid Pijp)        ,"                €2,250 per month            ",69 m²,3 rooms,Upholstered
                        Apartment Geldersekade                            ,            1011 EH Amsterdam (Burgwallen-Oude Zijde)        ,"                €2,500 per month            ",70 m²,3 rooms,Upholstered or furnished
                        Apartment Alexander Boersstraat 31 I                            ,            1071 KV Amsterdam (Museumkwartier)        ,"                €2,500 per month            ",61 m²,2 rooms,Upholstered or furnished
                        Apartment Keizersgracht 441                            ,            1017 DJ Amsterdam (Grachtengordel-Zuid)        ,"                €7,500 per month            ",277 m²,7 rooms,Furnished
                        Apartment Leliegracht                            ,            1016 GN Amsterdam (Grachtengordel-West)        ,"                €1,850 per month            ",51 m²,1 room,Furnished
                        Apartment Valkenburgerstraat 132 D                            ,            1011 NA Amsterdam (Nieuwmarkt/Lastage)        ,"                €2,650 per month            ",95 m²,3 rooms,Furnished
                        Apartment Vrolikstraat                            ,            1091 VB Amsterdam (Oosterparkbuurt)        ,"                €1,775 per month            ",52 m²,2 rooms,Furnished
                        Apartment Muntplein                            ,            1012 WR Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €1,800 per month            ",65 m²,2 rooms,Upholstered
                        Apartment Sint Willibrordusstraat 105 C                            ,            1073 VB Amsterdam (Nieuwe Pijp)        ,"                €2,250 per month            ",53 m²,3 rooms,Furnished
                        Apartment Prinsengracht 652 B                            ,            1017 KV Amsterdam (De Weteringschans)        ,"                €3,750 per month            ",120 m²,3 rooms,Furnished
                        Apartment Jan de Louterstraat                            ,            1063 KX Amsterdam (Slotermeer-Zuidwest)        ,"                €2,000 per month            ",116 m²,3 rooms,Upholstered or furnished
                        Apartment Leerdamhof                            ,            1108 BM Amsterdam (Nellestein)        ,"                €1,650 per month            ",69 m²,3 rooms,Furnished
                        Apartment Frederik Hendrikplantsoen 3 hs                            ,            1052 XN Amsterdam (Frederik Hendrikbuurt)        ,"                €2,400 per month            ",63 m²,3 rooms,Upholstered or furnished
                        Apartment Plantage Muidergracht 73 H                            ,            1018 TN Amsterdam (Weesperbuurt/Plantage)        ,"                €1,850 per month            ",56 m²,2 rooms,Upholstered
                        Apartment Nieuwpoortstraat 94 C6                            ,            1055 RZ Amsterdam (Landlust)        ,"                €1,700 per month            ",48 m²,2 rooms,Upholstered
                        Apartment Leidsekade                            ,            1016 CZ Amsterdam (Jordaan)        ,"                €2,495 per month            ",105 m²,3 rooms,Furnished
                        Apartment Olympiaplein 19 BV                            ,            1077 CK Amsterdam (Apollobuurt)        ,"                €4,500 per month            ",200 m²,6 rooms,Upholstered
                        Apartment Vierwindendwarsstraat 15 II                            ,            1013 LB Amsterdam (Haarlemmerbuurt)        ,"                €2,500 per month            ",85 m²,3 rooms,Upholstered
                        Apartment Bloemgracht                            ,            1015 TT Amsterdam (Jordaan)        ,"                €6,000 per month            ",195 m²,6 rooms,Upholstered
                        House Veenbesstraat 2                            ,            1036 LP Amsterdam (Tuindorp Oostzaan)        ,"                €2,500 per month            ",130 m²,5 rooms,Upholstered
                        Apartment Anne Frankstraat 79 IV                            ,            1018 DM Amsterdam (Weesperbuurt/Plantage)        ,"                €2,500 per month            ",86 m²,3 rooms,Furnished
                        Apartment Bella Vistastraat 318                            ,            1096 GM Amsterdam (Omval/Overamstel)        ,"                €4,250 per month            ",150 m²,5 rooms,Furnished
                        Apartment Rozenstraat                            ,            1016 NT Amsterdam (Jordaan)        ,"                €3,500 per month            ",80 m²,4 rooms,Furnished
                        House G.J. Scheurleerweg 70                            ,            1022 KL Amsterdam (Elzenhagen)        ,"                €2,750 per month            ",118 m²,5 rooms,Furnished
                        Apartment Plantage Kerklaan                            ,            1018 SX Amsterdam (Weesperbuurt/Plantage)        ,"                €2,750 per month            ",90 m²,3 rooms,Furnished
                        Apartment Peelstraat 44                            ,            1079 RN Amsterdam (Scheldebuurt)        ,"                €1,760 per month            ",92 m²,3 rooms,Upholstered
                        Apartment Leliegracht 12 1                            ,            1015 DE Amsterdam (Grachtengordel-West)        ,"                €2,250 per month            ",95 m²,2 rooms,Furnished
                        Apartment Leliegracht 12 II                            ,            1015 DE Amsterdam (Grachtengordel-West)        ,"                €3,400 per month            ",160 m²,3 rooms,Furnished
